Date,Trading_Total_Stock_Amount,Trading_Total_Price,Open,High,Low,Close,Price_Dif,Number_Of_Transactions
111/12/30,"22,297,604","10,079,102,379",455,456.5,448.5,448.5,2.5,"23,086"
111/12/29,"25,596,357","11,400,284,554",444,449.5,442.5,446,-5,"34,637"
111/12/28,"34,823,492","15,643,266,841",451,452,446,451,-6,"59,400"
111/12/27,"10,486,219","4,820,155,221",458,462.5,457,457,0.5,"13,482"
111/12/26,"9,152,790","4,171,194,858",454,457,453.5,456.5,1.5,"16,718"
111/12/23,"26,724,153","12,200,056,423",457.5,458.5,455,455,-13,"63,532"
111/12/22,"14,519,582","6,784,664,988",466.5,469,464,468,9,"16,893"
111/12/21,"40,831,313","18,763,874,901",460,463,457,459,1.5,"31,581"
111/12/20,"33,181,363","15,291,302,176",465,467,455,457.5,-9,"59,543"
111/12/19,"24,231,653","11,320,207,884",466.5,469.5,465,466.5,-4.5,"30,247"
111/12/16,"51,707,693","24,262,026,661",466.5,471,465.5,471,-9.5,"69,011"
111/12/15,"26,001,756","12,446,105,928",476,481.5,474.5,480.5,X0.00,"21,052"
111/12/14,"35,263,781","16,860,500,181",472,480.5,472,480.5,9,"25,102"
111/12/13,"36,028,109","17,034,191,389",473,476,471,471.5,-3.5,"36,559"
111/12/12,"24,064,002","11,435,789,974",476.5,478,473.5,475,-6.5,"34,393"
111/12/09,"28,903,860","13,881,674,073",478,484.5,476,481.5,10,"25,790"
111/12/08,"28,348,573","13,366,736,635",475,475,467,471.5,-3.5,"45,114"
111/12/07,"39,978,821","19,128,832,587",477,485.5,475,475,-3,"43,603"
111/12/06,"44,964,237","21,703,863,181",488,489,478,478,-11,"44,448"
111/12/05,"33,048,153","16,272,219,716",491.5,497.5,489,489,-3.5,"31,739"
111/12/02,"29,909,021","14,745,810,388",490,497,490,492.5,-6,"31,799"
111/12/01,"43,684,491","21,976,936,461",506,508,498.5,498.5,8.5,"46,181"
111/11/30,"60,728,041","29,643,130,386",483,490,482.5,490,3,"25,325"
111/11/29,"40,266,315","19,374,604,221",473.5,488,473,487,6.5,"35,929"
111/11/28,"40,815,045","19,790,586,320",486,490,480.5,480.5,-17.5,"57,163"
111/11/25,"41,461,805","20,594,790,238",494,498,494,498,2,"34,399"
111/11/24,"28,477,359","14,073,196,704",494,496,492,496,4,"34,387"
111/11/23,"34,752,559","17,111,333,375",494.5,496,488.5,492,1,"32,889"
111/11/22,"39,329,440","19,112,616,916",476,491,476,491,9,"40,964"
111/11/21,"30,609,465","14,843,805,078",487.5,489.5,480.5,482,-5,"35,815"
111/11/18,"37,001,332","18,131,673,834",491.5,494,486,487,2,"41,694"
111/11/17,"46,850,915","22,547,582,604",482.5,485,475,485,-2,"57,331"
111/11/16,"88,416,393","43,103,738,374",491.5,494,481.5,487,7,"98,338"
111/11/15,"118,536,865","56,191,637,241",465,487,462,480,35,"139,136"
111/11/14,"63,282,094","28,257,175,788",450,450,441.5,445,3.5,"48,957"
111/11/11,"83,770,040","36,838,808,146",441.5,442,435,441.5,34,"100,349"
