0,1,2,3,4,5,6,7,8
111/01/03,"6,900,842","797,618,088",116.50,116.50,114.50,115.50,-1.00,"3,151"
111/01/04,"11,435,555","1,317,507,259",115.50,116.00,114.50,115.50, 0.00,"4,494"
111/01/05,"4,299,714","496,088,426",115.00,115.50,115.00,115.50, 0.00,"2,216"
111/01/06,"4,038,682","465,955,166",116.00,116.00,115.00,115.50, 0.00,"2,087"
111/01/07,"4,419,073","511,058,035",115.50,116.00,115.00,115.50, 0.00,"2,197"
111/01/10,"5,523,279","641,013,628",115.50,116.50,115.00,116.50,+1.00,"2,756"
111/01/11,"7,542,028","878,869,579",116.50,117.00,116.00,116.50, 0.00,"4,155"
111/01/12,"6,200,007","724,296,510",116.50,117.00,116.00,117.00,+0.50,"2,966"
111/01/13,"5,399,203","633,094,872",117.00,117.50,116.50,117.50,+0.50,"2,907"
111/01/14,"5,514,209","647,785,723",117.50,118.00,117.00,117.50, 0.00,"2,266"
111/01/17,"4,269,447","499,567,385",117.50,117.50,116.50,117.00,-0.50,"2,211"
111/01/18,"3,687,733","432,336,351",117.00,117.50,116.50,117.50,+0.50,"2,206"
111/01/19,"9,923,785","1,154,071,136",117.00,117.50,115.50,117.00,-0.50,"8,122"
111/01/20,"7,936,492","924,092,534",117.00,117.50,116.00,116.50,-0.50,"3,565"
111/01/21,"5,788,011","674,220,709",116.50,117.00,116.00,117.00,+0.50,"2,636"
111/01/24,"6,985,813","817,226,989",116.50,117.50,116.00,117.00, 0.00,"2,544"
111/01/25,"8,658,607","1,010,110,905",116.00,117.00,116.00,117.00, 0.00,"3,532"
111/01/26,"6,591,163","772,686,559",117.00,117.50,116.50,117.50,+0.50,"3,195"
111/02/07,"11,096,988","1,310,204,277",118.00,118.50,117.50,118.50,+1.00,"6,345"
111/02/08,"7,055,695","834,915,157",118.50,119.00,118.00,118.00,-0.50,"2,671"
111/02/09,"9,533,932","1,128,595,741",118.50,119.00,118.00,118.50,+0.50,"3,877"
111/02/10,"6,645,924","790,745,748",119.00,119.50,118.50,119.50,+1.00,"3,677"
111/02/11,"5,308,950","633,348,278",119.00,120.00,118.50,119.50, 0.00,"2,571"
111/02/14,"6,018,505","717,602,142",119.00,120.00,118.50,120.00,+0.50,"3,912"
111/02/15,"5,265,758","631,010,908",120.00,120.00,119.50,120.00, 0.00,"2,967"
111/02/16,"7,266,163","875,560,485",120.00,121.00,120.00,121.00,+1.00,"4,775"
111/02/17,"9,972,466","1,211,092,354",121.50,122.00,121.00,121.50,+0.50,"6,168"
111/02/18,"10,386,896","1,267,446,891",121.50,123.00,121.00,122.00,+0.50,"4,928"
111/02/21,"7,751,020","951,678,473",122.00,123.50,121.50,123.50,+1.50,"5,164"
111/02/22,"11,692,660","1,436,978,085",123.00,123.50,122.50,123.50, 0.00,"5,576"
111/02/23,"16,311,578","2,033,455,085",123.50,126.00,123.50,125.50,+2.00,"8,265"
111/02/24,"17,141,004","2,134,237,625",125.00,125.50,124.00,124.50,-1.00,"8,514"
111/02/25,"16,707,368","2,082,195,230",124.00,125.00,124.00,124.50, 0.00,"6,643"
111/03/01,"12,845,752","1,598,770,244",125.00,125.50,124.00,124.50, 0.00,"6,584"
111/03/02,"14,720,427","1,817,921,070",125.00,125.00,122.50,123.50,-1.00,"7,377"
111/03/03,"11,058,997","1,354,817,748",123.50,124.00,122.00,122.50,-1.00,"7,471"
111/03/04,"8,028,327","983,219,687",122.50,123.00,122.00,123.00,+0.50,"4,144"
111/03/07,"18,175,988","2,201,855,733",122.00,122.50,120.50,121.00,-2.00,"14,084"
111/03/08,"11,857,541","1,437,535,437",120.00,122.50,120.00,122.00,+1.00,"5,479"
111/03/09,"4,846,163","591,189,077",122.00,122.50,121.50,122.50,+0.50,"5,177"
111/03/10,"5,892,819","723,045,904",122.50,123.00,122.50,123.00,+0.50,"3,035"
111/03/11,"7,858,459","960,553,244",122.50,122.50,122.00,122.50,-0.50,"5,756"
111/03/14,"5,981,535","734,605,168",122.50,123.00,122.50,123.00,+0.50,"3,267"
111/03/15,"14,584,229","1,805,436,431",123.00,125.00,122.00,125.00,+2.00,"5,483"
111/03/16,"10,113,332","1,265,725,260",124.00,126.00,124.00,126.00,+1.00,"5,361"
111/03/17,"16,568,719","2,087,205,135",126.00,127.50,125.00,125.50,-0.50,"8,700"
111/03/18,"14,222,899","1,793,315,823",126.00,126.50,125.00,126.50,+1.00,"3,974"
111/03/21,"9,854,091","1,244,514,121",125.50,127.00,125.00,126.50, 0.00,"3,583"
111/03/22,"6,987,974","879,656,447",126.50,126.50,125.00,126.50, 0.00,"4,058"
111/03/23,"6,711,069","844,300,959",126.00,126.50,125.00,126.50, 0.00,"3,855"
111/03/24,"8,353,453","1,057,025,586",125.50,127.00,125.50,127.00,+0.50,"5,345"
111/03/25,"9,481,803","1,206,001,853",126.00,128.00,126.00,128.00,+1.00,"4,539"
111/03/28,"8,068,685","1,027,222,206",127.00,128.00,126.50,128.00, 0.00,"3,612"
111/03/29,"6,107,134","775,983,435",127.50,128.00,126.50,127.00,-1.00,"2,773"
111/03/30,"9,627,825","1,221,797,807",127.50,127.50,126.50,127.00, 0.00,"5,201"
111/03/31,"5,734,826","728,234,428",127.00,127.50,126.50,127.00, 0.00,"1,929"
111/04/01,"8,187,331","1,035,194,315",126.50,127.00,126.00,127.00, 0.00,"2,894"
111/04/06,"10,164,223","1,284,828,145",127.00,127.00,126.00,127.00, 0.00,"5,763"
111/04/07,"13,580,537","1,723,545,509",127.00,127.50,126.50,127.00, 0.00,"5,552"
111/04/08,"10,377,720","1,322,255,376",127.50,128.00,126.50,128.00,+1.00,"4,781"
111/04/11,"12,486,786","1,610,549,089",128.00,130.00,128.00,130.00,+2.00,"6,657"
111/04/12,"7,169,928","922,519,627",129.00,129.50,128.00,128.50,-1.50,"2,995"
111/04/13,"5,636,769","723,132,282",129.00,129.00,128.00,128.50, 0.00,"3,479"
111/04/14,"7,556,797","980,187,865",128.50,130.00,128.50,130.00,+1.50,"4,317"
111/04/15,"3,946,144","510,959,675",129.50,130.00,129.00,129.50,-0.50,"2,849"
111/04/18,"5,302,627","685,973,744",128.50,130.00,128.50,130.00,+0.50,"3,205"
